Project;Risk;Stakeholder;idx
irrigation projects,difficulties arising from lack of appropriate institutions| poor implementation of institutional change| etc.,farmers| managers| and other individuals involved in the management and operation of irrigation systems.,1351
Investigating the prevalence and characteristics of ESBL-producing bacteria in the Yeongsan River basin.,Antibiotic-resistant pathogens| including E. coli| in the environment may pose a public health risk.,Potential individuals or groups affected by the presence of antibiotic-resistant pathogens in the environment| such as,1352
Evaluating the role of organic acids in the acid-base chemistry of natural waters.,Chronic anthropogenic acidification of brown water streams.,The community living near the affected area.,1353
Integration of the food| energy| and water (FEW) nexus thinking,,Concerns of stakeholders,1354
None,None,None,1355
"""Microbial Source Tracking (MST)""","""microbial contamination""| ""faecal matter""| ""waterborne route""","""human population""| ""animals""| ""anthropogenic activities""",1356
None,None,None,1357
None,None,None,1358
collection of time-sensitive information before and after shake table experiments| use of LiDAR scanning techniques for documentation| etc.,earthquake damage| structural collapse| etc.,researchers| engineers| building owners| etc.,1359
Developing procedures for producing CD-ROM interactive formats for Region X project documents.,Immense storage capacity of CD-ROMs| reduced volume of reference materials required at the site| hypertext links and powerful search capabilities.,Spill response teams| regulators| environmental scientists| emergency responders.,1361
Personalized driving assistant strategy development,Accidents caused by operational mistakes (highway lane-change),Drivers (individualized operation styles and driving risks),1362
None,None,None,1363
assessment of the fresh and hardened properties of self-compacting concrete (SCC) prepared using locally available materials| and investigation of the impact of polypropylene (PP)| steel| and hybrid fibers on the same properties.,none detected,None,1364
None,none detected,None,1365
Decadal aerosol direct and indirect (wet cloud) radiativeforcings from US anthropogenic sources over the 1950-2050 period.,Radiative forcing: -2.0 W m(-2),Historical emission inventories and future projections from the IPCC A1B scenario.,1366
management of IT projects| including planning| training| and hiring IS personnel.,potential risks associated with the implementation of new technologies and the increasing complexity of IT systems.,senior IS managers responsible for making decisions about the direction of IT projects and the development of IS professionals.,1367
